Gene	M_19W_embryo1_26_sc1	M_19W_embryo1_26_sc2	M_19W_embryo1_26_sc3	M_19W_embryo1_26_sc4	M_19W_embryo1_26_sc5	M_19W_embryo1_26_sc6	M_19W_embryo1_26_sc7	M_19W_embryo1_26_sc8	M_19W_embryo1_26_sc9	M_19W_embryo1_26_sc10	M_19W_embryo1_26_sc11	M_19W_embryo1_26_sc12	M_19W_embryo1_26_sc13	M_19W_embryo1_26_sc14	M_19W_embryo1_26_sc15	M_19W_embryo1_26_sc16	M_19W_embryo1_26_sc17	M_19W_embryo1_26_sc18	M_19W_embryo1_26_sc19	M_19W_embryo1_26_sc20	M_19W_embryo1_26_sc21	M_19W_embryo1_26_sc22	M_19W_embryo1_26_sc24	M_19W_embryo1_26_sc25	M_19W_embryo1_26_sc26	M_19W_embryo1_26_sc27	M_19W_embryo1_26_sc28	M_19W_embryo1_26_sc29	M_19W_embryo1_26_sc30	M_19W_embryo1_26_sc31	M_19W_embryo1_26_sc32	M_19W_embryo1_26_sc33	M_19W_embryo1_26_sc35	M_19W_embryo1_26_sc36	M_19W_embryo1_26_sc37	M_19W_embryo1_26_sc38	M_19W_embryo1_26_sc39	M_19W_embryo1_26_sc40	M_19W_embryo1_26_sc41	M_19W_embryo1_26_sc42	M_19W_embryo1_26_sc43	M_19W_embryo1_26_sc44	M_19W_embryo1_26_sc45	M_19W_embryo1_26_sc46	M_19W_embryo1_26_sc47	M_19W_embryo1_26_sc48	M_19W_embryo1_26_sc49	M_19W_embryo1_26_sc50
CDKL5	0	2.28	27.53	162.77	0	0	0	0	0	0	0	3.59	36.73	0	0	0	0	0	0	16.92	0	0	0	0	64.5	24.02	41.42	0	0	0	0	0	17.79	0	1.3	0	62.83	80.27	0	20.25	42.65	0	0	24.94	20.61	0	31.62	0
CDKN1A	0	0	1.62	0	0	166.6	44.99	44.58	0	0	0	30.52	0	0	0	0	0	0	0	44.41	0	11.63	0	0	0	0	18.01	154.47	0	0	0	0	0	0	20.8	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN1B	0	0	1.62	0	53.58	107.48	0	0	1.44	0	0	1.8	19	0	100.85	0	0	0	137.09	0	0	43.92	47.09	138.61	77.04	0	0	0	0	47.63	0	34.39	0	0	0	0	3.14	80.27	31.16	43.62	69.59	0	0	58.2	0	1.16	0	0
CDKN1C	0	0	0	0	53.58	0	0	0	0	0	0	0	0	87	73.34	0	0	67.17	0	0	2.25	1.29	0	76.38	0	0	28.81	0	0	0	0	0	127.75	0	0	0	0	0	38.08	0	0	0	0	78.99	0	0	0	0
CDKN2A	0	0	0	0	0	0	0	0	0	0	0	0	32.93	0	0	0	98.91	2.58	0	0	0	0	0	0	39.42	0	43.22	0	0	0	0	0	19.41	0	0	0	0	41.74	0	0	0	0	0	0	0	0	0	0
CDKN2A-AS1	0	0	37.25	0	0	0	47.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2AIP	238.61	0	3.24	19.78	30.14	10.75	16.71	8.92	5.76	1.05	3.3	86.17	49.39	12.05	41.26	107.6	9.27	0	0	14.8	159.5	1.29	7.53	22.63	152.29	33.25	46.82	61.2	29.25	0	48.15	58.11	19.41	0	100.11	14.58	0	46.56	12.12	105.95	49.39	22.31	120.3	8.31	25.76	66.22	28.29	36.57
CDKN2AIPNL	43.83	31.88	53.44	16.73	110.51	75.24	1.29	44.58	200.31	21.08	130.18	105.92	130.44	76.29	96.26	109.39	117.46	51.67	73.11	61.33	40.44	41.34	28.25	110.32	1.79	1.85	133.26	107.83	78.4	38.11	63.56	129.26	29.11	38.18	28.6	136.08	157.06	64.21	55.39	51.41	136.93	347.44	220.76	47.81	72.13	90.62	1.66	48.12
CDKN2B	0	0	30.77	21.3	0	0	16.71	0	47.56	0	13.18	41.29	0	0	0	0	30.91	0	50.26	0	11.23	2.58	18.83	0	0	9.24	0	34.97	0	41.28	38.52	0	42.04	0	29.9	19.44	0	0	0	62.32	0	0	0	24.94	0	0	0	0
CDKN2B-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2C	0	0	63.16	57.81	97.12	16.12	25.71	0	1.44	0	0	17.95	2.53	38.82	0	5.38	0	0	111.95	2.11	0	0	0	0	0	0	75.64	0	28.08	0	1.93	1.19	1.62	0	0	0	0	0	0	1.56	35.92	0	16.12	2.08	0	36.02	0	0
CDKN2D	41.39	0	89.07	34.99	0	327.82	0	34.18	0	0	1.65	174.14	1.27	120.46	126.06	0	0	10.33	0	2.11	0	23.25	20.72	2.83	23.29	49.88	135.06	2.91	0	0	1.93	80.64	118.05	0	0	0	0	0	0	3.12	0	133.88	0	37.42	5.15	0	59.91	51.97
CDKN3	0	145.72	55.06	1.52	36.84	155.85	39.85	99.56	0	0	117	0	55.72	41.49	233.78	46.62	58.73	0	68.54	0	2.25	58.13	7.53	2.83	112.88	60.97	0	87.43	47.98	0	0	0	45.28	141.8	0	0	254.44	75.45	58.86	77.9	0	105.19	29.77	124.72	13.74	0	0	57.74
CDNF	0	0	0	0	0	0	0	0	0	0	0	0	48.12	0	0	0	0	0	0	0	0	0	0	0	0	0	34.22	0	0	0	0	0	0	0	0	0	0	0	31.16	0	0	6.38	0	0	0	0	0	0
CDO1	0	111.57	68.01	59.33	0	204.22	107.98	59.44	2.88	28.45	46.14	0	88.65	1.34	0	0	89.64	64.59	6.85	27.49	44.93	90.42	26.37	93.35	105.71	0	203.5	0	1.17	6.35	90.52	183.8	0	0	94.91	97.2	103.66	0	76.17	221.24	2.24	0	16.12	0	0	19.75	21.64	67.36
CDON	0	4.55	0	15.21	0	16.12	7.71	5.94	11.53	0	0	1.8	58.25	0	2.29	19.73	27.82	0	0	6.34	0	0	0	59.4	1.79	1.85	0	0	0	6.35	3.85	1.19	0	0	29.9	0	0	0	8.66	4.67	6.73	9.56	4.96	0	79	8.13	0	59.66
CDPF1	0	0	0	0	56.93	69.86	0	0	4.32	28.45	0	0	1.27	1.34	0	37.66	0	38.75	0	2.11	0	0	0	70.72	34.04	29.56	36.02	0	0	22.23	0	30.83	0	70.9	0	126.36	53.4	0	0	12.46	0	86.06	0	37.42	0	39.5	13.31	0
CDR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDR2	0	0	1.62	39.55	56.93	26.87	199.24	2.97	0	0	8.24	1.8	44.32	20.08	0	60.97	0	0	2.28	27.49	42.68	0	43.32	0	93.17	31.41	32.42	46.63	11.7	101.61	21.19	26.09	0	0	10.4	0	103.66	48.16	57.13	51.41	0	0	0	29.1	49.8	25.56	0	32.72
CDR2L	0	0	0	0	0	0	0	0	0	0	0	5.39	0	28.11	0	3.59	0	10.33	9.14	0	0	6.46	0	0	0	0	0	26.23	16.38	0	0	2.37	0	0	0	0	9.42	0	1.73	1.56	0	0	0	22.87	0	0	0	0
CDRT1	0	0	0	0	20.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.88	0	32.42	0	0	0	0	0	0	0	0	0	0	0	0	1.56	0	0	0	0	0	0	0	0
CDRT15	0	2.28	0	0	0	0	0	0	0	0	0	0	0	0	0	14.35	0	0	0	0	0	0	0	0	0	0	18.01	0	0	0	0	0	0	0	0	0	0	0	0	3.12	6.73	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT15P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.31	0	0	0	0	0	0	0	0	0	0	27.01	0	0	0	0	0	0	0	0	0	0	0	8.66	3.12	20.2	0	0	0	0	0	0	0
CDRT15P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDRT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDS1	0	54.65	1.62	51.72	50.23	10.75	20.57	0	2.88	0	80.74	3.59	1.27	50.86	68.76	75.32	336.92	43.92	11.42	65.56	13.48	34.88	165.74	2.83	0	66.51	1.8	0	1.17	0	109.78	26.09	74.39	5.45	65.01	0	0	22.47	34.62	76.34	6.73	0	18.6	33.26	0	94.1	43.27	0
CDS2	102.26	398.46	79.35	60.85	227.72	171.97	167.1	102.53	110.97	100.11	16.48	46.68	17.73	0	330.04	102.22	306.01	229.94	47.98	135.34	143.77	96.88	133.72	223.47	51.96	169.97	0	177.78	162.65	47.63	57.78	162.46	98.64	81.81	93.61	63.18	72.25	139.67	221.58	183.85	163.87	213.56	54.57	56.12	46.37	146.38	104.85	61.59
CDSN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDT1	0	0	0	0	0	0	19.28	0	0	1.05	0	0	0	0	2.29	37.66	0	0	2.28	0	0	0	0	0	43	0	0	0	40.95	3.18	0	0	0	0	0	24.3	0	0	0	0	0	0	0	0	24.04	0	41.61	0
CDV3	170.43	273.23	114.98	153.65	184.19	553.53	125.97	133.74	109.52	75.87	107.11	235.18	94.98	54.88	233.78	118.36	123.64	147.27	308.44	133.23	161.74	54.25	20.72	67.89	209.63	73.9	75.64	116.58	94.78	88.91	17.33	52.18	105.11	98.17	101.41	25.92	135.07	93.11	81.36	38.95	204.27	15.94	39.69	185	30.91	29.04	104.85	88.53
CDX1	2.43	0	1.62	0	63.63	0	35.99	0	0	0	0	0	0	0	0	0	0	0	0	126.89	0	0	1.88	0	0	0	0	0	124.03	0	0	1.19	0	0	45.5	0	0	0	0	0	0	0	38.45	0	0	0	0	0
CDX2	0	0	0	0	0	0	39.85	0	37.47	0	0	41.29	0	0	0	39.45	0	0	0	0	0	0	0	0	0	0	9	69.95	0	0	0	0	0	0	20.8	0	0	0	0	23.37	26.94	0	0	0	0	0	0	42.34
CDX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDYL	214.26	373.41	51.82	45.64	30.14	0	95.12	118.88	74.94	0	0	19.75	0	6.69	6.88	82.49	98.91	12.92	98.24	137.46	184.21	51.67	197.76	16.97	232.92	33.25	32.42	198.18	64.36	0	19.26	0	30.72	51.81	91.01	38.88	31.41	1.61	110.79	52.97	26.94	0	0	103.93	8.59	90.62	33.29	0
CDYL2	0	0	43.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.24	0	0	0	0	0
CEACAM1	0	0	1.62	0	0	0	0	0	0	0	0	0	3.8	6.69	9.17	0	0	0	0	12.69	0	1.29	0	0	0	0	5.4	0	23.4	0	3.85	0	0	0	0	3.24	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM16	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	1.79	0	0	0	0	0	0	0	0	0	51.73	0	0	0	9.53	0	0	0	0	0	0	0	17.66	0	0	0	0	0	0	0	0	0	0
CEACAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM19	73.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.53	0	0	0	0	0	0	38.08	0	0	0	0	0	0	0	0	0
CEACAM20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.23	47.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM22P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66.35	0	136.93	0	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	2.73	3.9	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM5	0	0	0	0	0	0	0	0	0	0	1.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92
CEACAM6	0	0	1.62	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09	0	0	0	0	0	0	0	1.79	0	0	0	0	0	0	36.76	0	0	0	0	0	0	0	0	49.39	0	0	0	0	0	0	0
CEACAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEACAM8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA	0	0	38.87	0	0	0	34.71	1.49	0	10.54	0	1.8	0	1.34	0	0	3.09	0	0	0	40.44	0	0	93.35	5.38	0	0	2.91	0	0	0	0	0	0	0	0	0	117.19	0	0	17.96	0	1.24	22.87	20.61	8.13	0	0
CEBPA-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.3	0	0	0	0	0	0	0	0	0	0	0	0
CEBPB	0	0	1.62	0	0	0	0	1.49	0	0	46.14	71.81	0	9.37	0	0	58.73	0	0	0	0	0	0	0	0	42.49	113.45	0	0	0	0	0	0	0	0	19.44	0	36.92	0	10.91	0	0	0	18.71	0	92.94	0	0
CEBPB-AS1	0	0	17.81	0	0	0	0	0	0	2.11	0	0	1.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPD	82.78	0	0	0	70.33	0	86.12	0	70.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.61	0	1.17	0	0	0	0	0	0	0	0	0	10.39	0	0	0	0	0	0	0	0	0
CEBPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.85	0	0	0	0	0	0	0	0	0
CEBPG	19.48	0	110.12	98.88	244.47	107.48	91.26	10.4	118.17	6.32	24.72	34.11	6.33	54.88	116.89	91.46	108.18	80.09	6.85	97.28	33.7	69.75	16.95	175.38	1.79	62.81	48.62	2.91	29.25	142.89	80.89	0	113.2	13.63	18.2	71.28	116.23	77.06	69.24	45.18	92.04	0	33.49	97.7	51.52	26.72	34.95	1.92
CEBPZ	21.91	150.28	361.12	80.63	371.72	214.96	273.79	447.29	223.37	1.05	85.69	289.04	129.17	285.09	238.36	91.46	247.28	175.69	315.3	570.99	411.1	180.84	226.01	141.44	175.59	109	201.7	311.85	140.42	346.12	269.65	291.72	134.22	0	96.21	6.48	172.77	277.72	150.6	124.64	101.02	133.88	375.79	168.37	334.87	76.68	43.27	408.02
CEBPZOS	0	0	72.87	54.76	43.54	48.37	26.99	57.95	0	99.06	0	107.72	184.9	8.03	32.09	19.73	3.09	82.68	175.93	54.98	0	34.88	0	0	82.42	0	135.06	37.89	133.4	3.18	48.15	45.06	236.09	79.08	46.8	124.74	216.75	300.2	1.73	32.72	166.11	31.88	90.54	4.16	20.61	74.35	31.62	0
CECR1	0	0	0	0	0	0	19.28	0	0	27.4	0	0	0	1.34	0	530.8	0	18.09	0	33.84	2.25	0	0	0	0	0	0	0	8.19	0	0	9.49	0	5.45	0	0	0	0	0	0	2.24	0	8.68	0	0	1.16	0	0
CECR2	0	0	0	0	0	0	0	25.26	23.06	1.05	135.12	46.68	13.93	0	93.97	107.6	0	72.34	0	50.75	0	27.13	3.77	0	0	38.8	0	29.14	10.53	130.19	17.33	0	0	0	2.6	176.58	0	0	62.32	6.23	15.71	0	37.21	6.24	0	36.02	0	0
CECR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CECR5	36.52	223.14	12.96	162.77	120.56	118.23	33.42	72.81	174.37	146.48	230.7	41.29	91.18	64.25	100.85	121.94	250.37	193.77	150.79	95.16	150.51	105.92	18.83	31.12	139.75	60.97	194.49	265.21	102.97	130.19	55.86	50.99	79.24	79.08	237.92	103.68	9.42	20.87	129.83	200.98	116.73	57.38	112.86	89.38	120.21	113.85	91.54	140.5
CECR5-AS1	0	0	0	0	0	0	0	19.32	0	0	0	0	0	0	0	0	3.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CECR6	0	0	0	0	0	0	0	0	0	0	0	0	0	53.54	0	0	0	0	0	0	0	0	0	0	0	0	50.42	0	0	0	0	0	1.62	0	0	0	0	0	0	0	0	0	0	29.1	1.72	0	0	0
CECR7	0	0	0	0	0	16.12	0	0	31.7	24.24	0	0	0	26.77	0	1.79	0	59.42	0	57.1	0	0	1.88	0	28.67	0	0	84.52	36.27	0	0	0	0	0	0	0	0	0	0	0	17.96	0	0	0	0	13.94	0	0
CEL	0	0	0	0	0	0	0	1.49	0	0	0	0	0	0	0	0	0	0	0	0	6.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA1	36.52	0	0	0	0	0	12.85	0	25.94	0	70.86	0	0	20.08	0	0	0	0	0	0	53.91	63.29	1.88	0	34.04	0	0	0	0	0	0	0	0	0	0	0	0	1.61	1.73	0	58.36	0	0	0	0	58.09	0	0
CELA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELA3B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF1	321.39	100.18	301.21	150.6	395.17	274.08	122.11	237.76	204.64	200.22	110.41	140.03	172.23	331.94	57.3	403.48	417.28	359.13	189.63	556.18	240.37	170.51	269.33	212.16	324.3	116.39	122.46	326.42	115.84	225.46	302.39	252.58	218.31	10.91	172.91	267.29	166.49	152.51	275.24	353.67	273.86	194.44	267.89	193.32	369.22	440.31	129.81	244.43
CELF2	31.65	0	0	9.13	83.72	134.35	0	0	14.41	0	1.65	41.29	0	0	66.47	71.73	43.27	162.77	4.57	46.52	13.48	37.46	0	141.44	21.5	0	57.63	0	0	0	19.26	33.2	54.98	95.44	44.2	0	0	19.26	50.2	7.79	26.94	54.19	43.41	4.16	8.59	0	19.97	0
CELF2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF2-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.42	0	0	0	0	0	33.96	136.34	24.7	0	119.37	0	154.07	3.12	0	0	50.85	0	73.84	0	0	0
CELF5	0	0	0	0	0	0	0	49.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.32	16.36	35.1	0	0	0	1.73	0	0	0	0	0	0	0	0	0
CELF6	0	0	0	0	0	0	0	0	69.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.71	0	0	0	0	0	0	0	0	0	0	0
CELP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CELSR1	0	0	0	66.93	0	0	0	0	0	0	0	129.26	3.8	0	0	0	0	0	6.85	0	0	0	41.44	0	0	0	0	0	0	50.81	0	1.19	33.96	2.73	13	0	3.14	0	0	1.56	0	0	0	0	0	0	1.66	0
CELSR2	119.3	0	17.81	28.9	0	0	0	32.69	31.7	0	37.9	41.29	10.13	0	0	3.59	0	15.5	2.28	0	0	14.21	97.94	70.72	34.04	0	0	40.8	0	44.46	0	1.19	0	0	16.9	27.54	0	0	0	1.56	0	0	26.04	20.79	27.48	1.16	0	86.61
CELSR3	0	0	0	0	0	0	0	0	30.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.83	0	0	0	0	0	37.19	0	0	0	0	0	0	0	0	0	0	43.65	0	0	0	0
CELSR3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.53	0	0	0	0	0	0	3.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEMIP	0	0	0	0	0	0	0	7.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.96	0	0	0	0	0
CEMP1	0	0	0	0	0	0	0	0	54.76	0	0	55.65	0	0	0	0	0	74.93	0	0	0	0	0	0	0	0	0	5.83	36.27	0	0	0	0	0	0	0	18.85	1.61	0	0	78.57	0	0	0	42.93	0	0	0
CEND1	0	0	0	30.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.7	0	0	0	0	0	0	0	0
CENPA	0	0	0	0	0	0	0	0	0	0	0	28.72	1.27	0	2.29	0	0	0	0	52.87	0	0	0	33.95	0	0	0	0	0	0	0	0	0	0	0	0	0	33.71	0	0	0	0	0	4.16	0	0	0	0
CENPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.1	0	0
CENPBD1	48.7	0	0	31.95	0	0	0	22.29	0	51.64	39.55	0	0	0	0	0	0	0	0	0	0	0	0	0	44.79	22.17	0	29.14	29.25	53.98	40.45	0	12.94	0	1.3	1.62	0	0	34.62	0	0	57.38	0	0	1.72	0	0	0
CENPBD1P1	0	0	0	71.5	0	0	14.14	43.09	0	47.42	0	0	6.33	0	0	0	0	0	70.83	0	0	0	0	0	0	60.97	0	0	0	0	0	113.84	0	0	71.51	1.62	0	0	0	0	0	0	0	43.65	1.72	9.29	51.59	0
CENPC	63.3	184.43	207.28	234.27	194.23	5.37	241.66	141.17	0	54.8	159.84	1.8	124.11	32.12	213.15	86.08	52.55	222.19	386.12	61.33	141.53	202.8	50.85	209.33	150.5	66.51	27.01	96.18	92.44	25.4	102.08	163.65	143.92	182.7	78.01	145.8	213.61	36.92	240.62	40.51	103.26	334.69	1.24	85.23	99.6	142.9	58.25	205.94
CENPE	2.43	143.45	98.78	255.57	140.65	91.36	480.75	179.81	155.64	55.85	184.56	62.83	273.54	72.28	89.39	93.25	126.73	196.36	340.43	78.25	26.96	223.47	79.1	209.33	103.92	46.19	117.06	75.78	79.57	276.26	595.15	134	394.57	398.13	283.42	55.08	72.25	101.14	230.23	34.28	166.11	306	65.73	517.59	123.65	228.87	33.29	96.23
CENPF	68.17	594.27	401.61	255.57	408.56	1058.7	547.59	407.16	340.1	220.24	151.6	199.27	325.47	157.94	515.69	308.44	639.83	214.44	374.7	522.35	222.4	226.05	395.52	1029.67	673.68	262.34	408.8	0	534.75	409.63	562.41	194.48	129.37	340.86	578.54	476.27	238.74	305.02	380.84	23.37	570.17	580.13	166.19	342.98	247.29	619.23	213.03	269.45
CENPH	2.43	198.09	84.21	138.43	154.05	139.73	127.26	178.32	142.67	133.83	0	41.29	201.36	149.91	144.39	77.11	83.46	23.25	0	67.67	0	67.17	54.62	2.83	78.83	84.98	118.86	0	469.23	374.7	233.05	271.56	79.24	621.73	167.71	268.91	172.77	248.83	358.33	74.79	354.68	178.5	205.88	141.35	336.59	44.15	261.29	130.87
CENPI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19	0	0	0	0	0	0
