Gene	M_19W_embryo2_103_sc1	M_19W_embryo2_103_sc2	M_19W_embryo2_103_sc3	M_19W_embryo2_103_sc4	M_19W_embryo2_103_sc5	M_19W_embryo2_103_sc6	M_19W_embryo2_103_sc7	M_19W_embryo2_103_sc8	M_19W_embryo2_103_sc9	M_19W_embryo2_103_sc10	M_19W_embryo2_103_sc11	M_19W_embryo2_103_sc12	M_19W_embryo2_103_sc13	M_19W_embryo2_103_sc14	M_19W_embryo2_103_sc15	M_19W_embryo2_103_sc16	M_19W_embryo2_103_sc17	M_19W_embryo2_103_sc18	M_19W_embryo2_103_sc19	M_19W_embryo2_103_sc20	M_19W_embryo2_103_sc21	M_19W_embryo2_103_sc22	M_19W_embryo2_103_sc23	M_19W_embryo2_103_sc24	M_19W_embryo2_103_sc25	M_19W_embryo2_103_sc26	M_19W_embryo2_103_sc27	M_19W_embryo2_103_sc28	M_19W_embryo2_103_sc29	M_19W_embryo2_103_sc30	M_19W_embryo2_103_sc31	M_19W_embryo2_103_sc32	M_19W_embryo2_103_sc33	M_19W_embryo2_103_sc34	M_19W_embryo2_103_sc35	M_19W_embryo2_103_sc36	M_19W_embryo2_103_sc37	M_19W_embryo2_103_sc38	M_19W_embryo2_103_sc39	M_19W_embryo2_103_sc40	M_19W_embryo2_103_sc41	M_19W_embryo2_103_sc42	M_19W_embryo2_103_sc43	M_19W_embryo2_103_sc44	M_19W_embryo2_103_sc45	M_19W_embryo2_103_sc46	M_19W_embryo2_103_sc47	M_19W_embryo2_103_sc48	M_19W_embryo2_103_sc49	M_19W_embryo2_103_sc50
ADAMTSL5	0	0	0	0	0	0	0	0	26.95	0	0	0	0	0	0	0	0	0	59.6	0	0	0	0	0	0	0	89.54	0	0	0	0	7.6	0	0	69.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38
ADAP1	0	0	0	0	0	28.32	0	0	0	0	1.1	0	0	0	0	1.53	0	0	0	0	0	0	0	0	114.08	102.18	0	0	0	0	0	0	0	0	0	0	0	0	3.8	3.4	29.06	0	0	0	0	0	0	0	0	0
ADAP2	0	0	0	45.03	0	0	0	50.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.66	0	0	0	1.38
ADAR	81.21	205.76	79.58	240.15	217.73	174.28	159.83	130.8	173.98	418.56	285.7	66.14	135.62	31.76	135.79	67.27	79.09	67.36	22.61	394.33	45.12	90.54	0	313.75	80.28	371.75	35.27	238.77	252.17	170.89	125.93	243.13	46.61	0	225.43	298.14	45.41	71.99	269.81	180.24	270.63	237.15	101.72	300.89	388.3	112.28	231.45	233.23	376.9	124.56
ADARB1	35.31	0	39.04	0	3.89	106.74	0	0	0	1.68	0	0	0	53.59	1.46	0	0	0	0	0	0	1.93	0	59.57	4.23	89.13	0	0	87.97	6.9	0	40.52	3.73	0	62.5	0	61.02	0	64.6	0	0	0	30.96	2.1	2.66	9.36	0	104.34	51.49	16.61
ADARB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.6	0	0	0	0	0	0	0	0	0	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	0	75.02	0	0	0	0	0	129.06	0	25.21	0	23.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.51	0	2.23	0	0	0	0	0	14.53	0	16.22	0	2.66	96.68	1.57	0	0	0
ADAT2	0	64.3	0	17.15	0	0	0	0	0	0	1.1	0	0	0	0	44.34	0	0	0	0	60.17	0	0	0	0	0	0	0	2.93	50.06	0	0	68.99	0	53.57	0	0	0	68.4	0	0	0	0	67.33	0	0	0	0	0	0
ADAT3	188.9	70.73	0	0	0	54.46	61.24	0	39.21	163.05	29.67	0	0	41.68	1.46	0	0	0	0	2.54	0	0	0	0	0	0	0	0	0	0	0	2.53	0	0	0	10.16	0	4.5	0	81.62	0	33.68	135.63	0	0	68.62	1.57	122.75	8.24	0
ADCK1	47.67	0	0	81.48	97.2	17.43	0	0	0	0	0	105.83	0	0	0	0	86.75	0	0	0	41.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.74	76	0	0	0	1.47	0	50.53	49.9	17.32	19.95	0	0
ADCK2	0	115.74	19.52	0	0	0	47.8	0	34.31	0	0	0	4.73	0	32.12	0	0	0	0	0	3.34	0	0	0	0	0	0	0	67.44	0	0	0	0	0	0	0	0	0	0	0	0	11.23	0	0	0	0	0	0	0	0
ADCK3	79.45	0	148.64	165.1	295.49	13.07	56.76	141.27	0	210.12	230.76	3.31	107.23	224.3	83.23	48.93	196.46	90.93	199.36	0	76.88	50.09	0	182.69	92.96	336.96	0	106.38	123.15	88.04	0	53.19	54.07	0	66.96	125.36	17.03	78.74	136.81	81.62	105.34	49.11	45.7	197.79	130.32	218.32	0	141.17	2.06	56.75
ADCK4	0	0	9.01	0	0	0	0	0	0	0	0	0	0	1.98	0	4.59	0	0	0	0	51.81	15.41	0	0	0	0	2.71	2.36	0	0	0	0	0	0	2.23	0	32.64	2.25	0	0	0	0	0	0	0	0	0	0	0	0
ADCK5	14.12	0	6.01	0	0	0	0	0	17.15	70.6	0	3.31	0	0	27.74	61.16	0	0	47.27	0	0	3.85	0	0	0	0	0	0	23.46	82.86	0	0	0	0	0	1.69	0	0	0	0	19.98	0	0	18.94	0	9.36	44.09	39.89	2.06	2.77
ADCY1	0	45.01	16.52	40.74	0	0	91.12	0	0	92.45	64.83	0	1.58	134.98	0	7.64	2.55	37.05	12.33	5.09	1.67	0	0	0	228.16	97.83	0	56.74	2.93	0	4.84	2.53	119.33	0	0	1.69	0	71.99	76	88.42	9.08	15.44	1.47	0	0	6.24	0	49.1	105.04	0
ADCY10	0	21.43	0	0	0	56.64	0	29.65	0	0	23.08	0	0	61.53	0	0	0	0	0	0	0	0	0	0	0	0	13.57	0	61.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.48	0	0	0	0
ADCY10P1	0	2.14	0	2.14	0	0	0	0	0	40.34	0	0	0	0	0	0	0	0	0	0	0	0	0	75.46	0	0	0	0	0	0	0	30.39	0	0	62.5	133.83	0	0	3.8	0	0	1.4	0	0	0	0	0	9.21	0	56.75
ADCY2	0	0	0	0	190.51	0	44.81	29.65	1.23	75.64	0	0	1.58	105.2	0	4.59	0	18.52	0	0	0	30.82	0	0	0	0	0	42.55	2.93	8.63	0	0	0	0	0	0	0	0	34.2	125.83	0	0	0	2.1	0	24.95	0	24.55	4.12	0
ADCY3	31.78	6.43	0	0	0	0	20.91	6.98	0	28.58	0	0	0	0	0	0	0	0	0	0	0	1.93	0	0	8.45	2.17	0	0	0	24.17	0	7.6	22.37	0	0	0	0	0	0	0	0	4.21	0	0	0	6.24	0	0	28.83	12.46
ADCY4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	31.53	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.13	0	0	0	89.76	0	75.98	50.34	0	0	88.09	0	11.25	3.8	316.27	0	44.9	0	21.04	0	65.5	0	4.6	0	0
ADCY6	0	0	0	0	0	0	0	0	0	0	0	0	0	71.46	0	0	0	0	0	0	53.48	0	0	0	0	0	2.71	0	0	1.73	43.59	0	0	0	15.62	0	0	0	0	0	0	0	0	33.67	37.23	77.97	0	3.07	0	1.38
ADCY7	0	0	1.5	0	3.89	4.36	44.81	0	57.59	152.97	8.79	42.99	17.35	0	0	24.46	0	20.21	26.72	66.15	0	0	0	7.94	0	91.31	75.98	47.28	79.17	53.51	92.03	0	0	0	35.71	0	11.35	67.49	0	0	3.63	14.03	0	23.15	2.66	28.07	1.57	95.13	8.24	49.83
ADCY8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.89	0	0	0	0	0
ADCY9	0	75.02	0	0	0	0	0	22.67	0	36.98	0	92.6	0	0	0	0	0	0	0	53.43	1.67	11.56	0	0	0	63.04	0	16.55	0	1.73	0	0	184.59	0	0	0	31.22	58.49	83.6	0	0	0	0	0	85.11	3.12	0	47.57	0	22.14
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	8.72	0	1.68	0	0	23.65	0	0	10.7	0	21.89	0	0	0	0	0	51.63	0	2.17	0	0	0	0	9.69	0	0	0	0	0	0	0	0	0	0	46.31	0	16.83	109.04	0	1.57	12.28	14.42	0
ADD1	37.07	2.14	3	132.94	0	19.61	10.46	0	42.88	62.2	152.74	23.15	75.69	131.01	43.8	90.21	0	133.03	10.28	83.95	5.01	23.12	0	63.54	12.68	26.09	35.27	30.73	0	84.58	82.34	53.19	7.46	0	26.78	5.08	46.83	6.75	68.4	6.8	1.82	275.03	45.7	94.69	0	59.26	7.87	42.96	20.6	163.32
ADD2	0	113.59	0	2.14	11.66	28.32	25.39	0	0	0	0	0	0	0	0	195.71	0	0	57.55	0	13.37	0	0	0	38.03	39.13	0	0	2.93	72.5	0	0	0	0	0	0	0	0	0	0	0	0	0	8.42	0	0	80.3	0	0	1.38
ADD3	222.45	195.04	219.21	173.68	217.73	309.34	144.9	118.6	57.59	146.24	18.68	76.07	427.35	79.4	0	68.8	0	72.41	63.71	48.34	83.56	104.02	0	226.38	33.8	278.27	165.52	130.02	8.8	67.32	159.83	113.97	50.34	0	31.25	404.87	86.56	301.45	159.61	278.87	58.12	176.81	119.41	149.39	340.43	171.54	47.23	283.87	123.57	185.46
ADD3-AS1	0	23.58	0	0	104.98	71.89	38.84	0	3.68	8.4	0	0	0	81.38	0	0	0	0	0	0	0	0	0	87.37	0	0	2.71	0	5.86	46.61	9.69	0	33.56	0	0	0	36.89	0	0	0	0	0	19.16	0	37.23	0	0	0	26.77	0
ADGB	0	0	0	0	0	0	74.69	0	0	0	0	0	0	0	0	0	0	95.98	0	0	0	90.54	0	0	0	0	16.28	0	35.19	0	0	0	0	0	0	0	1.42	0	0	74.82	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68	57.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.38	98.98	0	0	0	1.4	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	0	0	43.54	0	0	0	14.94	0	9.8	35.3	1.1	0	80.42	0	0	0	5.1	0	0	0	0	1.93	0	0	0	0	8.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA3	33.54	0	0	0	34.99	8.71	89.63	17.44	75.96	11.77	87.91	56.22	15.77	0	8.76	48.93	0	97.67	51.38	55.97	55.15	55.87	0	3.97	0	36.96	2.71	0	0	0	4.84	103.84	3.73	0	142.85	116.89	1.42	33.74	3.8	30.61	0	72.97	1.47	23.15	26.6	0	6.3	13.81	41.19	1.38
ADGRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.35	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRB2	0	0	0	12.87	0	17.43	0	43.6	0	15.13	0	0	1.58	97.26	0	0	0	0	24.66	0	0	0	0	0	42.25	0	0	70.92	55.71	0	33.9	5.07	3.73	0	0	0	4.26	0	0	0	0	0	33.91	0	37.23	0	0	10.74	0	45.67
ADGRB3	0	132.88	0	0	0	10.89	0	24.42	2.45	0	5.49	0	0	0	0	0	86.75	1.68	0	0	0	0	0	0	0	97.83	0	0	0	0	0	0	0	0	0	0	93.65	74.24	0	74.82	29.06	0	0	0	21.28	18.71	0	70.58	43.25	0
ADGRD1	0	0	0	0	0	8.71	0	0	0	0	14.29	0	0	0	0	0	0	0	0	0	0	65.5	0	0	0	56.52	0	4.73	2.93	0	0	0	0	0	42.41	0	0	0	41.8	0	0	0	0	0	0	0	28.34	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0	35.3	0	0	9.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.44	0	0	0	0	0	0	0	0	0	0	27.21	7.27	0	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE4P	0	0	0	51.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18	0
ADGRE5	56.49	0	1.5	38.6	0	0	80.66	0	0	0	0	0	0	0	54.02	1.53	0	45.47	67.82	71.23	58.49	40.45	0	0	0	2.17	0	0	0	1.73	14.53	0	124.92	0	0	0	0	0	0	0	0	0	39.8	0	13.3	0	0	0	0	6.92
ADGRF1	0	66.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.6	0	0	0	0	0	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	6.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	6.43	0	19.61	4.48	0	0	1.68	0	0	0	7.94	0	0	0	0	0	0	0	0	0	55.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	0	0	0	0	55.24	0	0
ADGRG2	0	0	0	0	0	0	64.23	47.09	0	1.68	1.1	0	1.58	51.61	0	1.53	0	0	0	0	0	28.9	0	0	0	71.74	0	30.73	79.17	0	77.5	0	0	0	0	25.41	8.51	0	0	0	0	47.71	0	46.29	0	0	0	21.48	121.51	0
ADGRG3	0	0	45.04	0	0	0	0	0	3.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	0	30.01	0	0	0	0	103.07	1.74	72.29	45.39	0	0	0	0	0	0	0	0	0	27.98	18.38	0	0	0	0	0	2.71	0	0	0	0	0	0	0	0	0	19.87	0	0	0	16.35	0	32.43	0	0	0	0	0	0	0
ADGRG6	0	27.86	136.63	25.73	89.42	61	1.49	130.8	1.23	0	167.03	0	1.58	73.44	29.2	0	0	0	0	2.54	35.1	7.71	0	7.94	156.34	21.74	0	33.1	0	5.18	4.84	108.9	0	0	78.12	74.54	46.83	31.5	95	231.25	0	147.34	13.27	111.52	15.96	40.55	0	27.62	80.32	0
ADGRG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.4	0	0	0	0	0	0	0	0	0	0	0
ADGRL1	14.12	0	36.03	72.9	0	102.39	91.12	52.32	8.58	1.68	63.73	0	34.69	210.41	4.38	41.28	0	43.78	0	0	86.91	59.72	0	0	4.23	350.01	5.43	33.1	2.93	120.83	62.97	205.14	61.53	0	174.1	67.76	11.35	18	3.8	81.62	45.41	0	132.68	58.92	0	37.43	28.34	0	113.28	26.3
ADGRL2	0	27.86	0	0	0	32.68	0	0	31.86	65.56	50.55	0	0	35.73	0	139.14	0	18.52	0	0	3.34	0	0	0	0	0	0	0	0	0	0	22.79	18.65	0	0	54.21	0	0	102.6	0	0	126.29	17.69	4.21	26.6	0	130.68	0	0	4.15
ADGRL3	0	21.43	0	21.44	0	34.86	0	0	0	1.68	6.59	0	0	25.8	0	0	0	0	84.26	106.85	55.15	0	0	0	0	184.79	0	75.65	14.66	0	53.28	2.53	1.86	0	0	28.8	0	0	3.8	13.6	0	51.92	0	0	0	0	0	16.88	0	1.38
ADGRL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	7.37	2.1	0	0	0	0	0	0
ADGRL4	0	0	52.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.38	68.99	0	0	5.08	0	0	22.8	91.82	49.04	0	0	0	0	0	0	49.1	0	0
ADGRV1	15.89	15	102.1	51.46	73.87	50.1	0	1.74	6.13	82.37	0	52.92	1.58	93.29	138.71	0	63.79	1.68	408.99	66.15	38.44	73.2	0	3.97	0	189.13	13.57	59.1	0	0	295.45	0	31.7	0	64.73	91.48	0	150.73	41.8	119.03	141.67	0	0	52.6	61.17	0	29.92	0	80.32	0
ADH1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.42	0	54.73	0	0	0	0	0	0	51.49	0
ADH4	0	0	3	0	0	0	0	0	0	0	7.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.27	0	0	0	0	0	0	0	0	0
ADH5	107.69	15	84.08	250.87	0	58.82	16.43	99.41	229.12	20.17	35.16	138.9	3.15	85.35	67.16	42.81	178.6	102.72	106.87	127.2	105.29	140.63	0	83.4	88.73	136.96	70.55	82.74	0	88.04	24.22	63.32	41.02	0	212.04	108.42	63.85	0	133.01	47.61	114.43	94.02	58.97	16.83	255.32	43.66	195.24	113.55	115.34	225.6
ADH6	0	0	0	0	7.78	0	0	0	0	0	0	0	0	0	0	0	25.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.97	0	0	0	0	0	0	0	0	0	0	0	45.59	52.21	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0
ADI1	5.3	107.16	43.54	175.82	120.53	19.61	132.95	99.41	113.95	104.22	168.12	76.07	100.92	45.65	33.58	1.53	33.17	18.52	49.33	170.45	35.1	213.83	0	270.06	38.03	47.83	211.65	99.29	11.73	8.63	101.71	2.53	29.83	0	62.5	77.92	112.1	60.74	53.2	44.21	154.38	2.81	148.9	460.8	202.13	59.26	157.45	128.89	39.13	44.29
ADIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0
ADIPOR1	0	0	31.53	62.18	0	0	0	0	0	119.35	174.72	99.22	37.85	93.29	20.44	29.05	40.82	0	24.66	142.47	0	34.67	0	0	0	0	0	33.1	0	25.89	0	2.53	137.98	0	40.18	1.69	25.54	2.25	3.8	88.42	39.96	19.65	0	0	170.21	62.38	102.34	9.21	43.25	38.75
ADIPOR2	12.36	36.44	25.52	177.97	116.64	13.07	171.78	8.72	47.78	240.38	53.84	29.76	67.81	19.85	29.2	0	153.09	0	0	38.16	0	52.01	0	135.03	287.32	128.26	141.1	14.18	90.9	15.54	169.52	53.19	70.85	0	31.25	262.57	38.31	121.48	53.2	333.28	110.79	162.78	53.07	0	0	53.02	166.9	128.89	109.16	55.36
ADIRF	0	0	0	0	0	0	0	0	0	0	0	0	69.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADK	10.59	64.3	51.05	0	241.05	17.43	64.23	88.95	7.35	70.6	0	6.61	56.77	15.88	32.12	48.93	0	0	258.96	27.98	1.67	84.76	0	71.49	0	0	103.11	127.66	0	65.59	0	12.66	0	0	113.83	18.63	36.89	65.24	60.8	6.8	52.67	57.53	23.59	52.6	82.45	24.95	55.11	9.21	0	77.51
ADM	0	0	16.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.27	0	0	0	0	0	0	0
ADM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADNP	21.19	6.43	39.04	238	77.76	154.67	29.88	139.52	12.25	107.58	49.45	13.23	67.81	85.35	185.43	67.27	0	42.1	147.98	73.78	85.23	38.53	0	289.92	12.68	173.92	100.4	87.47	82.1	74.23	164.68	60.78	57.8	0	4.46	83.01	96.49	49.49	91.2	34.01	196.16	137.52	185.75	96.79	183.51	177.78	107.06	260.85	214.19	119.03
ADNP-AS1	0	0	49.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.23	0	0	0	0	0	0
ADNP2	31.78	68.59	172.67	130.8	0	89.32	110.54	68.02	13.48	35.3	223.07	0	14.19	0	58.4	13.76	12.76	48.83	10.28	0	0	38.53	0	131.06	54.93	150	260.49	177.31	216.99	162.26	121.09	83.58	115.6	0	127.22	108.42	21.28	4.5	186.21	132.63	36.33	1.4	19.16	69.44	140.96	6.24	1.57	131.96	2.06	0
ADO	12.36	0	0	0	0	0	0	0	0	5.04	41.76	0	0	0	0	0	0	72.41	0	0	56.82	0	0	0	156.34	0	0	0	0	0	0	0	80.17	0	0	0	96.49	0	0	119.03	0	0	0	0	0	0	0	0	57.67	0
ADORA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA2A-AS1	0	0	0	147.95	0	0	0	1.74	0	0	0	0	0	0	0	0	0	0	0	0	0	3.85	0	0	0	0	0	0	35.19	0	0	0	0	0	0	0	0	47.24	0	17	0	0	0	0	0	0	0	0	0	0
ADORA2B	7.06	0	33.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.37	0	0	0	0	0	0	0	0	0	0	111.42	0	0	75.98	0	0	0	0	0	0	98.8	0	0	0	56.02	0	0	0	0	0	0	0
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPGK	17.65	2.14	76.57	38.6	7.78	47.93	47.8	36.63	267.1	77.32	120.87	0	105.65	11.91	132.87	53.51	56.13	75.78	90.43	17.81	46.8	82.83	0	7.94	84.51	65.22	2.71	7.09	0	0	159.83	48.12	63.39	0	124.99	23.72	66.69	96.74	91.2	122.43	96.26	54.73	97.3	4.21	74.47	62.38	22.04	75.19	0	243.59
ADPGK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPRH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPRHL1	0	0	0	0	0	0	0	0	0	0	23.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.25	0	0	0	0	0	0
ADPRHL2	14.12	237.9	97.59	0	81.65	63.17	115.02	169.17	265.87	65.56	39.56	168.67	132.46	69.47	211.71	174.3	311.27	48.83	184.97	356.17	1.67	254.28	0	0	8.45	0	8.14	104.02	2.93	107.02	33.9	324.18	117.47	0	93.74	23.72	55.34	227.22	49.4	112.23	92.63	67.36	131.2	164.12	0	140.35	130.68	99.74	123.57	69.2
ADPRM	0	51.44	43.54	0	38.88	0	0	31.39	1.23	1.68	0	33.07	0	0	24.82	51.99	86.75	106.09	0	127.2	0	0	0	0	4.23	0	0	0	0	8.63	0	2.53	0	0	35.71	0	29.8	0	144.41	115.63	0	0	0	0	0	0	0	90.53	0	42.91
ADRA1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
